,ChanIndx,CoarseChanNum,DriftRate,Freq,FreqEnd,FreqStart,FullNumHitsInRange,SNR,TopHitNum,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
132,470164,95,-3.099543,1646.635596,1646.633967,1646.63723,16471,30.140026,133,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
135,314658,97,-3.95096,1641.210699,1641.209071,1641.212334,18425,15.686035,136,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
142,469020,102,-1.262777,1626.13098,1626.129351,1626.132614,7967517,35.506178,143,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
144,471813,102,-2.879513,1626.123176,1626.121547,1626.12481,7967517,28.455507,145,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
149,478043,102,-0.956649,1626.10577,1626.104141,1626.1074039999999,7967517,15.542437,150,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
150,479836,102,-3.147375,1626.10076,1626.099131,1626.102394,7967517,13.205698,151,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
153,482802,102,3.893561,1626.092473,1626.090844,1626.094108,7967517,14.074612,154,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
154,483584,102,1.511505,1626.090288,1626.088659,1626.091923,7967517,15.701005,155,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
158,530217,102,-0.535723,1625.959997,1625.958368,1625.961632,7967517,11.137709,159,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
159,546044,102,-3.836162,1625.915777,1625.914148,1625.917411,7967517,14.395288,160,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
160,559197,102,-3.616133,1625.879028,1625.877399,1625.880662,7967517,10.897204,161,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
161,560936,102,-3.750064,1625.874169,1625.87254,1625.875804,7967517,15.793819,162,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
162,575362,102,3.176075,1625.833863,1625.8322349999999,1625.8354980000001,7967517,11.509603,163,spliced_blc0001020304050607_guppi_58873_17761_TIC154840461_0070.gpuspec.0000.h5,TIC154840461,58873.205567129633,12h10m45.957s,85d42m18.326s,18.253611,-2.793968,,on_table_1,,0,0.0
